S01	S02	S03	S04	S06	S07
ASV_666	0	0	0	0	0	7
ASV_667	0	0	0	0	0	7
ASV_668	0	0	0	0	0	7
ASV_669	0	0	0	0	0	7
ASV_670	0	0	0	0	0	7
ASV_671	0	0	0	0	0	7
ASV_672	6	0	0	0	0	0
ASV_673	6	0	0	0	0	0
ASV_674	6	0	0	0	0	0
ASV_675	3	0	0	3	0	0
ASV_676	6	0	0	0	0	0
ASV_677	3	0	0	0	0	3
ASV_678	6	0	0	0	0	0
ASV_679	6	0	0	0	0	0
ASV_680	6	0	0	0	0	0
ASV_681	0	6	0	0	0	0
ASV_682	0	6	0	0	0	0
ASV_683	0	0	6	0	0	0
ASV_684	0	0	3	3	0	0
ASV_685	0	0	0	6	0	0
ASV_686	0	0	0	6	0	0
ASV_687	0	0	0	6	0	0
ASV_688	0	0	0	6	0	0
ASV_689	0	0	0	6	0	0
ASV_690	0	0	0	0	6	0
ASV_691	0	0	0	0	6	0
ASV_692	0	0	0	0	6	0
ASV_693	0	0	0	0	6	0
ASV_694	0	0	0	0	6	0
ASV_695	0	0	0	0	6	0
ASV_696	0	0	0	0	6	0
ASV_697	0	0	0	0	6	0
ASV_698	0	0	0	0	6	0
ASV_699	0	0	0	0	2	4
ASV_700	0	0	0	0	6	0
ASV_701	0	0	0	0	0	6
ASV_702	0	0	0	0	0	6
ASV_703	0	0	0	0	0	6
ASV_704	0	0	0	0	0	6
ASV_705	0	0	0	0	0	6
ASV_706	0	0	0	0	0	6
ASV_707	0	0	0	0	0	6
ASV_708	0	0	0	0	0	6
ASV_709	0	0	0	0	0	6
ASV_710	0	0	0	0	0	6
ASV_711	0	0	0	0	0	6
ASV_712	0	0	0	0	0	6
ASV_713	0	0	0	0	0	6
ASV_714	5	0	0	0	0	0
ASV_715	5	0	0	0	0	0
ASV_716	5	0	0	0	0	0
ASV_717	5	0	0	0	0	0
ASV_718	2	0	0	0	0	3
ASV_719	5	0	0	0	0	0
ASV_720	5	0	0	0	0	0
ASV_721	5	0	0	0	0	0
ASV_722	5	0	0	0	0	0
ASV_723	0	5	0	0	0	0
ASV_724	0	2	0	0	3	0
ASV_725	0	5	0	0	0	0
ASV_726	0	0	5	0	0	0
ASV_727	0	0	0	5	0	0
ASV_728	0	0	0	5	0	0
ASV_729	0	0	0	5	0	0
ASV_730	0	0	0	0	5	0
ASV_731	0	0	0	0	5	0
ASV_732	0	0	0	0	5	0
ASV_733	0	0	0	0	5	0
ASV_734	0	0	0	0	5	0
ASV_735	0	0	0	0	5	0
ASV_736	0	0	0	0	3	2
ASV_737	0	0	0	0	5	0
ASV_738	0	0	0	0	5	0
ASV_739	0	0	0	0	5	0
ASV_740	0	0	0	0	2	3
ASV_741	0	0	0	0	0	5
ASV_742	0	0	0	0	0	5
ASV_743	0	0	0	0	0	5
ASV_744	0	0	0	0	0	5
ASV_745	4	0	0	0	0	0
ASV_746	4	0	0	0	0	0
ASV_747	4	0	0	0	0	0
ASV_748	4	0	0	0	0	0
ASV_749	4	0	0	0	0	0
ASV_750	4	0	0	0	0	0
ASV_751	4	0	0	0	0	0
ASV_752	4	0	0	0	0	0
ASV_753	4	0	0	0	0	0
ASV_754	4	0	0	0	0	0
ASV_755	4	0	0	0	0	0
ASV_756	4	0	0	0	0	0
ASV_757	4	0	0	0	0	0
ASV_758	4	0	0	0	0	0
ASV_759	0	4	0	0	0	0
ASV_760	0	4	0	0	0	0
ASV_761	0	0	4	0	0	0
ASV_762	0	0	0	4	0	0
ASV_763	0	0	0	4	0	0
ASV_764	0	0	0	4	0	0
